ΑΠΟ ΘΑΣΟ	ΑΠΟ ΚΕΡΑΜΩΤΗ	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
-	04:15	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS
-	04:45	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES
-	05:15	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES
04:30	05:45	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES
05:00	06:15	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES
05:30	06:45	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS
06:00	07:15	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK
06:30	07:45	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES
07:00	08:15	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES
07:30	08:45	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES
08:00	09:15	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS
08:30	09:45	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES
09:00	10:15	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES
09:30	10:45	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK
10:00	11:15	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES
10:30	11:45	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS
11:00	12:15	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES
